,기기,application,Format,Format_profile,Codec_ID,Overall_bitrate_mode,Overall_bitrate,Frame_rate(FPS),Writing_application,Movie_name,Recorded_date,Encoded_date,Tagged_date,Writing_library,Copyright,Video_ID,Video_Format,Video_Format_Info,Video_Format_profile,Video_Format_settings,Video_Format_settings_CABAC,Video_Format_settings_Reference_frames,Video_Format_settings_GOP,Video_Codec_ID,Video_Codec_ID_Info,Video_Duration_FirstFrame,Video_Duration_LastFrame,Video_Source_duration,Video_Source_Duration_FirstFrame,Video_Source_Duration_LastFrame,Video_Bitrate_mode,Video_Bitrate,Video_Maximum_bitrate,Video_Width(Pixels),Video_Height(Pixels),Video_Display_aspect_ratio,Video_Rotation,Video_Frame_rate_mode,Video_Frame_rate,Video_Minimum_frame_rate,Video_Maximum_frame_rate,Video_Color_space,Video_Chroma_subsampling,Video_Bit_depth,Video_Scan_type,Video_Bits/(Pixel*Frame),Video_Stream_size,Video_Source_stream_size,Video_Title,Video_Writing_library,Video_Encoding_settings,Video_Encoded_date,Video_Tagged_date,Video_Color_range,Video_Color_range_Original,Video_Color_primaries,Video_Transfer_characteristics,Video_Transfer_characteristics_Original,Video_Matrix_coefficients,Video_Metas,Video_Codec_configuration_box,Audio_ID,Audio_Format,Audio_Format_Info,Audio_Codec_ID,Audio_Duration_LastFrame,Audio_Source_duration,Audio_Bitrate_mode,Audio_Bitrate,Audio_Normal_bitrate,Audio_Channel(s),Audio_Channel_layout,Audio_Sampling_rate,Audio_Frame_rate,Audio_Compression_mode,Audio_Stream_size,Audio_Source_stream_size,Audio_Title,Audio_Encoded_date,Audio_Tagged_date,Audio_Default,Audio_Alternate_group,BOX_Sequence
Android_Band_옵션_고화질1.mp4,Android,Band,MPEG4,Base Media,isom isom iso2 avc1 mp41,no value,614,30,Lavf58.12.100,no value,,,,no value,no value,1,AVC,Advanced Video Codec,High L3,CABAC 4 Ref Frames,Yes,4,0,avc1,Advanced Video Coding,no value,no value,,,,no value,482,0,432,768,0.562,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.048,1.45 MiB (78%),,no value,no value,,,,no value,no value,no value,no value,no value,no value,,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,NA,Constant,128,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,395 KiB (21%),NA,no value,,,Yes,1,ftyp moov free mdat
Android_Band_옵션_고화질2.mp4,Android,Band,MPEG4,Base Media,isom isom iso2 avc1 mp41,no value,336,30,Lavf58.12.100,no value,,,,no value,no value,1,AVC,Advanced Video Codec,High L3,CABAC 4 Ref Frames,Yes,4,0,avc1,Advanced Video Coding,no value,no value,,,,no value,203,0,768,432,16:09,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.02,378 KiB (60%),,no value,no value,,,,no value,no value,no value,no value,no value,no value,,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,-14,NA,Constant,128,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,239 KiB (38%),NA,no value,,,Yes,1,ftyp moov free mdat
Android_Band_옵션_고화질3.mp4,Android,Band,MPEG4,Base Media,isom isom iso2 avc1 mp41,no value,536,30,Lavf58.12.100,no value,,,,no value,no value,1,AVC,Advanced Video Codec,High L3,CABAC 4 Ref Frames,Yes,4,0,avc1,Advanced Video Coding,no value,no value,,,,no value,404,0,432,768,0.562,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.041,972 KiB (75%),,no value,no value,,,,no value,no value,no value,no value,no value,no value,,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,-15,NA,Constant,128,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,310 KiB (24%),NA,no value,,,Yes,1,ftyp moov free mdat
Android_Band_옵션_고화질4.mp4,Android,Band,MPEG4,Base Media,isom isom iso2 avc1 mp41,no value,429,30,Lavf58.12.100,no value,,,,no value,no value,1,AVC,Advanced Video Codec,High L3,CABAC 4 Ref Frames,Yes,4,0,avc1,Advanced Video Coding,no value,no value,,,,no value,298,0,768,432,16:09,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.03,296 KiB (69%),,no value,no value,,,,no value,no value,no value,no value,no value,no value,,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,-1,NA,Constant,129,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,129 KiB (30%),NA,no value,,,Yes,1,ftyp moov free mdat
Android_Band_옵션_고화질5.mp4,Android,Band,MPEG4,Base Media,isom isom iso2 avc1 mp41,no value,442,30,Lavf58.12.100,no value,,,,no value,no value,1,AVC,Advanced Video Codec,High L3,CABAC 4 Ref Frames,Yes,4,0,avc1,Advanced Video Coding,no value,no value,,,,no value,311,0,432,768,0.562,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.031,317 KiB (70%),,no value,no value,,,,no value,no value,no value,no value,no value,no value,,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,-7,NA,Constant,129,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,133 KiB (29%),NA,no value,,,Yes,1,ftyp moov free mdat
Android_Band_옵션_고화질6.mp4,Android,Band,MPEG4,Base Media,isom isom iso2 avc1 mp41,no value,859,30,Lavf58.12.100,no value,,,,no value,no value,1,AVC,Advanced Video Codec,High L3,CABAC 4 Ref Frames,Yes,4,0,avc1,Advanced Video Coding,no value,no value,,,,no value,727,0,432,768,0.562,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.073,2.70 MiB (85%),,no value,no value,,,,no value,no value,no value,no value,no value,no value,,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,-9,NA,Constant,128,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,488 KiB (15%),NA,no value,,,Yes,1,ftyp moov free mdat
Android_Band_옵션_고화질7.mp4,Android,Band,MPEG4,Base Media,isom isom iso2 avc1 mp41,no value,853,30,Lavf58.12.100,no value,,,,no value,no value,1,AVC,Advanced Video Codec,High L3,CABAC 4 Ref Frames,Yes,4,0,avc1,Advanced Video Coding,no value,no value,,,,no value,725,0,432,768,0.562,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.073,862 KiB (84%),,no value,no value,,,,no value,no value,no value,no value,no value,no value,,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,-6,NA,Constant,128,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,154 KiB (15%),NA,no value,,,Yes,1,ftyp moov free mdat
Android_Band_옵션_고화질8.mp4,Android,Band,MPEG4,Base Media,isom isom iso2 avc1 mp41,no value,778,30,Lavf58.12.100,no value,,,,no value,no value,1,AVC,Advanced Video Codec,High L3,CABAC 4 Ref Frames,Yes,4,0,avc1,Advanced Video Coding,no value,no value,,,,no value,646,0,432,768,0.562,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.065,1.72 MiB (83%),,no value,no value,,,,no value,no value,no value,no value,no value,no value,,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,-8,NA,Constant,128,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,350 KiB (16%),NA,no value,,,Yes,1,ftyp moov free mdat
Android_Band_옵션_고화질9.mp4,Android,Band,MPEG4,Base Media,isom isom iso2 avc1 mp41,no value,689,30,Lavf58.12.100,no value,,,,no value,no value,1,AVC,Advanced Video Codec,High L3,CABAC 4 Ref Frames,Yes,4,M=4 N=60,avc1,Advanced Video Coding,no value,no value,,,,no value,559,0,768,432,16:09,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.056,787 KiB (81%),,no value,no value,,,,no value,no value,no value,no value,no value,no value,,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,-15,NA,Constant,129,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,182 KiB (19%),NA,no value,,,Yes,1,ftyp moov free mdat
Android_Band_옵션_고화질10.mp4,Android,Band,MPEG4,Base Media,isom isom iso2 avc1 mp41,no value,1678,30,Lavf58.12.100,no value,,,,no value,no value,1,AVC,Advanced Video Codec,High L3,CABAC 4 Ref Frames,Yes,4,0,avc1,Advanced Video Coding,no value,no value,,,,no value,1555,0,768,432,16:09,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.156,1.62 MiB (92%),,no value,no value,,,,no value,no value,no value,no value,no value,no value,,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,-21,NA,Constant,129,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,139 KiB (8%),NA,no value,,,Yes,1,ftyp moov free mdat
